Taxa,DC_field,DS_field,RL_field,DC_eDNA,DS_eDNA,RL_eDNA
Bivalvulida,0,0,0,0.150125797,0.301621613,0.371958904
Atheriniformes,0,0,0,0.599839688,0.674686518,0.568959235
Nannoperca,0,0,0,0.194663943,0,0
Hypseleotris,0,0,0,0.147852176,0.168921594,0.264808487
Adinetida,0,0,0,0.326009763,1,0.462895667
Ploimida,0,0,0,0.887416405,0.956257231,0.907313362
Flosculariacea,0,0,0,0.272921204,0.580645434,0.672476868
Oligochatea (Haplotaxida),0,0.171123545,0.215933872,0.550525994,0.619767424,0.133272105
Chaetonotida,0,0,0,0.815960075,0.978503781,0.97300039
Rhabdocoela,0,0,0,0.507899165,0,0.859624137
Catenulida,0,0,0,0.402488952,0.697749131,0.487398267
Rhabditida,0,0,0,0.412809717,0.95115544,0.180872785
Enoplida,0,0,0,0.241710122,0.713896864,0.107943092
Araeolaimida,0,0,0,0.23661607,0.158570836,0.400542922
Tylenchida,0,0,0,0,0,0.178027314
Monhysterida,0,0,0,0.339574937,0.092377083,0.210734938
Chromadorida,0,0,0,0,0.286436698,0.020147838
Limnozetes,0,0,0,0.461352732,0.0947037,0.210151072
Araneae,0.474225054,0.387057416,0,0.148939217,0.148591102,0
Podonidae (cladocera),0.421815006,0.582191989,0.215933872,0.092377083,0.284059786,0.095800705
Bosmina,0.421815006,0.582191989,0.215933872,0.427767038,0.031933568,0.692138654
Scapholeberis,0.421815006,0.582191989,0.215933872,0.354756632,0.147155394,0.110648969
Macrotrichidae,0.421815006,0.582191989,0.215933872,0.442033593,0.110648969,0.706673736
Alonopsis (cladocerea),0.421815006,0.582191989,0.215933872,0,0.228918607,0
Heterias,0,0,1,0.410990591,0.307212779,0.811541533
Caridina,0,0.171123545,0.570648682,0,0,0
Cherax,0.421815006,0.373504232,0.107966936,0.123491804,0,0.262819785
Cyclopicina (cyclopodia),0.602991288,0.627002316,0.107966936,0.909481702,0.099816347,0.777833948
Mesocyclops,0.602991288,0.627002316,0.107966936,0.868867435,0.737826356,0.748502058
Ectocyclops,0.602991288,0.627002316,0.107966936,0.435903244,0.781402707,0.202646792
Macrocyclops (cyclopodia),0.602991288,0.627002316,0.107966936,0.82749914,0.775207507,0.769126074
Tortanus (calanoidua),0.896533764,0.860663131,0,0.87895979,0.0787154,0.748451958
Pontellina,0.896533764,0.860663131,0,0.342981378,0.297006572,0.160724946
Eudiaptomus,0.896533764,0.860663131,0,0.904885957,0.080591354,0.792937709
Skistodiaptomus,0.896533764,0.860663131,0,0.910365692,0.09685781,0.800928201
Hemidiaptomus (calanoida),0.896533764,0.860663131,0,0.82150579,0.084014975,0.72390893
Sminthuridae (collembola),0.215933872,0.171123545,0.171123545,0.291444754,0.13267276,0
Entomobryidae (collembola),0.107966936,0,0.107966936,0.291444754,0.13267276,0
Ischnura,0,0,0,0.666474791,0,0
Indolestes,0,0.250691462,0,0.659560386,0.493961194,0
Austrolestes minjerriba,0.670415653,0.171123545,0,0,0,0
Anax ,0.387057416,0.107966936,0,0.215132969,0.333218529,0.276441877
Allorrhizucha,0,0,0,0.418375497,0.311016369,0.342568198
Agrionoptera insignis,0.107966936,0.250691462,0.250691462,0,0,0
Zyxomma,0,0.107966936,0,0,0,0
Gerridae,0,0,0,0,0.226597512,0.040295677
Microvelia,0.431867744,0.107966936,0.107966936,0,0,0
Enithares,0.450214025,0.342247089,0,0,0,0
Sigara,0.323900808,0,0,0,0.407689362,0
Ecnomus,0.399525138,0.215933872,0.107966936,0,0,0
Notoperata,0.107966936,0.107966936,0,0,0,0
Hydroptilidae,0.171123545,0.488395124,0,0,0.171413671,0
Sternopriscus,0.342247089,0.529781942,0.507492074,0,0,0
Prionocyphon,0,0,0,0.167668862,0,0
Chrysomelidae (chrysomeloidia),0,0,0.107966936,0.747501389,0.689416944,0.624387768
Hydrophilidae,0,0,0,0.383401176,0,0.504557093
Hydraena,0.171123545,0,0,0,0,0
Culicidae,0.27909048,0,0,0,0,0
Chaoboridae,0,0.107966936,0,0,0,0
Ceratopogoninae,0,0.411068445,0,0,0,0
Dicrotendipes,0.778382589,0.729304505,0.458635717,0,0,0
Tanytarsus,0.507492074,0.51903538,0.93518564,0.411492883,0.282895287,0
Paramerina,0.849739163,0.78150838,0.578438474,0,0,0
Psectrotanypus,0,0,0,0.148939217,0.189234893,0
Apsectrotanypus,0,0,0,0.219810763,0.232954192,0
